"","Quad","Year","trackID","Treatment","Pasture","basalArea_genet","logsize","survives_tplus1","size_tplus1"
"1","gzgz_11",1997,"BOUGRA_1997_1","gzgz","11",0.412625383401389,-0.885215159632867,1,0.411735371069234
"2","gzgz_11",1998,"BOUGRA_1997_1","gzgz","11",0.411735371069234,-0.887374439227716,1,0.387951680924229
"3","gzgz_11",1999,"BOUGRA_1997_1","gzgz","11",0.387951680924229,-0.94687448081427,1,0.375491306236266
"4","gzgz_11",2000,"BOUGRA_1997_1","gzgz","11",0.375491306236266,-0.979519960545928,1,0.409594914274945
"5","gzgz_11",2001,"BOUGRA_1997_1","gzgz","11",0.409594914274945,-0.892586621654857,1,0.187451264936996
"6","gzgz_11",2002,"BOUGRA_1997_1","gzgz","11",0.187451264936996,-1.67423638769284,1,0.367782621250674
"7","gzgz_11",2003,"BOUGRA_1997_1","gzgz","11",0.367782621250674,-1.0002632184702,1,0.269233889875747
"8","gzgz_11",2004,"BOUGRA_1997_1","gzgz","11",0.269233889875747,-1.31217479806628,1,0.399472194951904
"9","gzgz_11",2005,"BOUGRA_1997_1","gzgz","11",0.399472194951904,-0.917611115817737,1,0.42240021501654
"10","gzgz_11",2006,"BOUGRA_1997_1","gzgz","11",0.42240021501654,-0.861802037554845,1,0.190414718131705
"11","gzgz_11",2007,"BOUGRA_1997_1","gzgz","11",0.190414718131705,-1.65855085850055,1,0.389298256829218
"12","gzgz_11",2008,"BOUGRA_1997_1","gzgz","11",0.389298256829218,-0.943409502081332,1,0.260932913982465
"13","gzgz_11",2009,"BOUGRA_1997_1","gzgz","11",0.260932913982465,-1.34349193924843,1,0.345912373300599
"15","gzgz_11",2000,"BOUGRA_2000_1","gzgz","11",0.00212438397665932,-6.15427341196975,1,0.000942000324195967
"16","gzgz_11",2001,"BOUGRA_2000_1","gzgz","11",0.000942000324195967,-6.96750493923089,1,0.000555860346364218
"17","gzgz_11",2002,"BOUGRA_2000_1","gzgz","11",0.000555860346364218,-7.49499347086749,1,0.00153111578543937
"21","gzgz_11",2001,"BOUGRA_2001_3","gzgz","11",2.49999999999998e-05,-10.5966347330961,1,2.49999999999994e-05
"23","gzgz_11",2005,"BOUGRA_2005_1","gzgz","11",0.000494843009301778,-7.61126999862491,1,0.00128503999871547
"24","gzgz_11",2006,"BOUGRA_2005_1","gzgz","11",0.00128503999871547,-6.65696543371437,1,0.000318184019787497
"25","gzgz_11",2007,"BOUGRA_2005_1","gzgz","11",0.000318184019787497,-8.05288066397694,1,0.000802215698147524
"26","gzgz_11",2008,"BOUGRA_2005_1","gzgz","11",0.000802215698147524,-7.12813303594978,1,0.00125908364182972
"27","gzgz_11",2009,"BOUGRA_2005_1","gzgz","11",0.00125908364182972,-6.67737109099581,1,0.00151714478170547
"29","gzgz_11",2006,"BOUGRA_2006_1","gzgz","11",0.000573339915231532,-7.46403179683578,1,0.000430190037313749
"30","gzgz_11",2007,"BOUGRA_2006_1","gzgz","11",0.000430190037313749,-7.75128349966531,1,0.00136734529597222
"31","gzgz_11",2008,"BOUGRA_2006_1","gzgz","11",0.00136734529597222,-6.59488415915567,1,0.000244436598079053
"32","gzgz_11",2009,"BOUGRA_2006_1","gzgz","11",0.000244436598079053,-8.31655459523678,1,0.0028049448569632
"35","gzgz_11",2008,"BOUGRA_2008_2","gzgz","11",0.00164133600943538,-6.41224472888539,1,0.000668893408085676
"36","gzgz_11",2009,"BOUGRA_2008_2","gzgz","11",0.000668893408085676,-7.30988584074618,1,0.000463917184701573
"38","gzgz_11",2008,"BOUGRA_2008_3","gzgz","11",0.00231725964756469,-6.06736997784891,1,0.000653009474781087
"39","gzgz_11",2009,"BOUGRA_2008_3","gzgz","11",0.000653009474781087,-7.33391891917429,1,0.00131537724401768
"42","gzgz_11",2008,"BOUGRA_2008_5","gzgz","11",0.000825985342944609,-7.09893352921985,1,0.0018667548769134
"43","gzgz_11",2009,"BOUGRA_2008_5","gzgz","11",0.0018667548769134,-6.28355371553633,1,0.000997254705834296
"77","gzgz_19",1997,"BOUGRA_1997_1","gzgz","19",0.24126988159617,-1.42183913139729,1,0.344799891445238
"78","gzgz_19",1998,"BOUGRA_1997_1","gzgz","19",0.344799891445238,-1.06479105502664,1,0.319552658931478
"79","gzgz_19",1999,"BOUGRA_1997_1","gzgz","19",0.319552658931478,-1.14083320205838,1,0.25159924430692
"80","gzgz_19",2000,"BOUGRA_1997_1","gzgz","19",0.25159924430692,-1.37991775770997,1,0.267151893521843
"81","gzgz_19",2001,"BOUGRA_1997_1","gzgz","19",0.267151893521843,-1.31993789274331,1,0.165394314596732
"82","gzgz_19",2002,"BOUGRA_1997_1","gzgz","19",0.165394314596732,-1.79942287064275,1,0.1106611842173
"83","gzgz_19",2003,"BOUGRA_1997_1","gzgz","19",0.1106611842173,-2.20128214016604,1,0.134850327084787
"84","gzgz_19",2004,"BOUGRA_1997_1","gzgz","19",0.134850327084787,-2.00358980385401,1,0.128502225705817
"85","gzgz_19",2005,"BOUGRA_1997_1","gzgz","19",0.128502225705817,-2.05180905412903,1,0.305406230681142
"86","gzgz_19",2006,"BOUGRA_1997_1","gzgz","19",0.305406230681142,-1.18611248469929,1,0.0510321222842718
"87","gzgz_19",2007,"BOUGRA_1997_1","gzgz","19",0.0510321222842718,-2.97529999581805,1,0.152891884361269
"88","gzgz_19",2008,"BOUGRA_1997_1","gzgz","19",0.152891884361269,-1.87802424553777,1,0.216541766099155
"89","gzgz_19",2009,"BOUGRA_1997_1","gzgz","19",0.216541766099155,-1.52997183513765,1,0.263165066296181
"91","gzgz_19",1998,"BOUGRA_1998_1","gzgz","19",0.000220858886148877,-8.41798658460315,1,0.00345564760680903
"93","gzgz_19",1998,"BOUGRA_1998_2","gzgz","19",0.000359701681404367,-7.93023553281055,1,2.4999999999999e-05
"94","gzgz_19",2000,"BOUGRA_1998_2","gzgz","19",2.4999999999999e-05,-10.5966347330961,1,0.000407174547222926
"95","gzgz_19",2001,"BOUGRA_1998_2","gzgz","19",0.000407174547222926,-7.80626860150152,1,8.69145312875799e-05
"98","gzgz_19",2000,"BOUGRA_2000_1","gzgz","19",0.00106281590094488,-6.84683338281975,1,0.000677182748909486
"99","gzgz_19",2002,"BOUGRA_2000_1","gzgz","19",0.000677182748909486,-7.29756938217406,1,0.000433790000726855
"100","gzgz_19",2003,"BOUGRA_2000_1","gzgz","19",0.000433790000726855,-7.74295001025935,1,4.9999999999998e-05
"101","gzgz_19",2005,"BOUGRA_2000_1","gzgz","19",4.9999999999998e-05,-9.90348755253617,1,0.00111501496093386
"102","gzgz_19",2006,"BOUGRA_2000_1","gzgz","19",0.00111501496093386,-6.79888745628218,1,0.000124999999999995
"103","gzgz_19",2007,"BOUGRA_2000_1","gzgz","19",0.000124999999999995,-8.98719682066201,1,0.00143495705782484
"104","gzgz_19",2008,"BOUGRA_2000_1","gzgz","19",0.00143495705782484,-6.54662035507905,1,0.00197590578662634
"106","gzgz_19",2000,"BOUGRA_2000_2","gzgz","19",2.49999999999994e-05,-10.5966347330961,1,2.49999999999994e-05
"108","gzgz_19",2001,"BOUGRA_2001_1","gzgz","19",0.00063930680737669,-7.35512608207577,1,0.000151984040669944
"111","gzgz_19",2001,"BOUGRA_2001_3","gzgz","19",0.000246511899722441,-8.30810029091065,1,2.49999999999995e-05
"113","gzgz_19",2001,"BOUGRA_2001_4","gzgz","19",2.50000000000001e-05,-10.5966347330961,1,5e-05
"114","gzgz_19",2002,"BOUGRA_2001_4","gzgz","19",5e-05,-9.90348755253613,1,0.000265115041463938
"117","gzgz_19",2001,"BOUGRA_2001_6","gzgz","19",2.49999999999995e-05,-10.5966347330961,1,0.0006366135869409
"120","gzgz_19",2001,"BOUGRA_2001_8","gzgz","19",2.49999999999995e-05,-10.5966347330961,1,0.00013385382161887
"122","gzgz_19",2002,"BOUGRA_2002_1","gzgz","19",0.000857666195369193,-7.06129558386203,1,0.00230960005408808
"123","gzgz_19",2004,"BOUGRA_2002_1","gzgz","19",0.00230960005408808,-6.07068090619674,1,0.00162075001652899
